user_id,city,age_group,user_type,orders_per_month,avg_order_value_inr,delivery_time_min,campaign_exposed,discount_used,zepto_pass_member,order_category,repeat_purchase
1,Jaipur,35-44,Returning,3,500.88,9.96,Festival Offer,1,0,Household,0
2,Hyderabad,25-34,Returning,6,208.46,7.71,Influencer,1,1,Personal Care,0
3,Chennai,18-24,New,7,227.83,8.26,Influencer,0,1,Household,1
4,Jaipur,18-24,Returning,7,340.18,7.96,Meme Marketing,1,1,Snacks,1
5,Bangalore,25-34,New,8,523.63,9.48,Referral,1,0,Private Label,0
6,Surat,25-34,New,8,341.77,9.32,Uncle Ji,0,1,Private Label,0
7,Chennai,18-24,New,6,415.07,8.02,Uncle Ji,0,0,Private Label,0
8,Chennai,25-34,New,8,435.38,9.31,Referral,1,0,Household,0
9,Jaipur,18-24,Returning,8,457.93,4.58,Meme Marketing,1,0,Snacks,0
10,Delhi,25-34,Returning,5,607.75,10.05,Influencer,1,0,Private Label,1
11,Bangalore,18-24,New,4,503.36,10.14,Referral,1,1,Grocery,1
12,Jaipur,35-44,Returning,6,539.7,8.04,Uncle Ji,1,0,Personal Care,1
13,Bangalore,25-34,Returning,7,404.78,7.74,Uncle Ji,1,1,Grocery,1
14,Bangalore,25-34,New,4,596.82,8.71,Influencer,1,1,Grocery,0
15,Surat,18-24,Returning,6,428.59,7.43,Influencer,0,1,Private Label,0
16,Chennai,18-24,New,5,185.36,7.67,Zepto Pass,0,0,Grocery,1
17,Hyderabad,25-34,Returning,7,715.01,9.26,Festival Offer,1,1,Grocery,1
18,Surat,25-34,Returning,8,425.54,10.01,Referral,1,0,Snacks,1
19,Surat,25-34,New,3,483.57,9.28,Influencer,0,0,Personal Care,0
20,Bangalore,18-24,New,6,291.77,13.13,Zepto Pass,1,1,Household,1
21,Pune,25-34,Returning,10,683.65,10.67,Meme Marketing,0,0,Private Label,1
22,Chennai,35-44,Returning,5,324.81,9.9,Uncle Ji,0,0,Private Label,1
23,Delhi,35-44,New,5,373.77,9.85,Referral,1,1,Grocery,1
24,Surat,18-24,Returning,7,236.51,8.93,Festival Offer,0,0,Household,1
25,Hyderabad,25-34,Returning,6,463.75,9.56,Meme Marketing,1,0,Household,1
